gameTime,label,position,confidence,half,team,visibility
1 - 0:6,HIGH PASS,6640,0.18353939056396484,1,,visible
1 - 0:9,HIGH PASS,9520,0.11490249633789062,1,,visible
1 - 0:11,HIGH PASS,11520,0.1716475486755371,1,,visible
1 - 0:11,CROSS,11520,0.11992913484573364,1,,visible
1 - 0:13,HIGH PASS,13520,0.11334800720214844,1,,visible
1 - 0:15,HIGH PASS,15200,0.13483333587646484,1,,visible
1 - 0:15,CROSS,15520,0.13086044788360596,1,,visible
1 - 0:16,HIGH PASS,16640,0.10300089253319634,1,,visible
1 - 0:17,HIGH PASS,17520,0.1647043228149414,1,,visible
1 - 0:19,HIGH PASS,19360,0.1156620979309082,1,,visible
1 - 0:20,HIGH PASS,20400,0.13719606399536133,1,,visible
1 - 0:21,HIGH PASS,21520,0.1103973388671875,1,,visible
1 - 0:22,HIGH PASS,22560,0.10884499549865723,1,,visible
1 - 0:23,HIGH PASS,23520,0.14731502532958984,1,,visible
1 - 0:25,HIGH PASS,25520,0.10500359535217285,1,,visible
1 - 0:27,CROSS,27520,0.11431029438972473,1,,visible
1 - 0:31,CROSS,31520,0.12483501434326172,1,,visible
1 - 0:33,CROSS,33520,0.18898659944534302,1,,visible
1 - 0:35,CROSS,35520,0.17247623205184937,1,,visible
1 - 0:37,HIGH PASS,37520,0.10116100311279297,1,,visible
1 - 0:37,CROSS,37520,0.10994398593902588,1,,visible
1 - 0:41,CROSS,41520,0.1339167356491089,1,,visible
1 - 0:43,HIGH PASS,43280,0.10198736190795898,1,,visible
1 - 0:43,CROSS,43520,0.11636924743652344,1,,visible
1 - 0:47,HIGH PASS,47360,0.12470579147338867,1,,visible
1 - 0:47,CROSS,47520,0.18641620874404907,1,,visible
1 - 0:51,CROSS,51440,0.2164468765258789,1,,visible
1 - 0:52,HIGH PASS,52640,0.10226249694824219,1,,visible
1 - 0:53,CROSS,53520,0.12938380241394043,1,,visible
1 - 0:57,CROSS,57520,0.22609484195709229,1,,visible
1 - 0:59,CROSS,59520,0.23618805408477783,1,,visible
1 - 1:3,HIGH PASS,63360,0.10774517059326172,1,,visible
1 - 1:3,CROSS,63520,0.16339027881622314,1,,visible
1 - 1:5,CROSS,65519,0.16028672456741333,1,,visible
1 - 1:11,HIGH PASS,71120,0.12013769149780273,1,,visible
1 - 1:17,CROSS,77520,0.1499956250190735,1,,visible
1 - 1:23,CROSS,83520,0.24735206365585327,1,,visible
1 - 1:25,CROSS,85520,0.13985979557037354,1,,visible
1 - 1:27,HIGH PASS,87520,0.10532379150390625,1,,visible
1 - 1:29,CROSS,89520,0.1898277997970581,1,,visible
1 - 1:31,HIGH PASS,91520,0.10263204574584961,1,,visible
1 - 1:31,CROSS,91520,0.10677388310432434,1,,visible
1 - 1:37,CROSS,97520,0.12142783403396606,1,,visible
1 - 1:39,HIGH PASS,99280,0.10271215438842773,1,,visible
1 - 1:39,CROSS,99520,0.12908196449279785,1,,visible
1 - 1:41,CROSS,101520,0.1637081503868103,1,,visible
1 - 1:47,CROSS,107520,0.13785862922668457,1,,visible
1 - 1:49,CROSS,109520,0.1278831958770752,1,,visible
1 - 1:51,CROSS,111520,0.10351622104644775,1,,visible
1 - 1:53,HIGH PASS,113520,0.10592174530029297,1,,visible
1 - 1:55,CROSS,115520,0.10952973365783691,1,,visible
1 - 1:57,CROSS,117520,0.12639755010604858,1,,visible
1 - 1:59,CROSS,119520,0.1451374888420105,1,,visible
1 - 2:1,CROSS,121520,0.16012954711914062,1,,visible
1 - 2:3,CROSS,123520,0.12252950668334961,1,,visible
1 - 2:5,CROSS,125520,0.11560678482055664,1,,visible
1 - 2:7,CROSS,127520,0.10267448425292969,1,,visible
1 - 2:9,CROSS,129520,0.24883365631103516,1,,visible
1 - 2:11,HIGH PASS,131520,0.10196590423583984,1,,visible
1 - 2:11,CROSS,131520,0.1005181074142456,1,,visible
1 - 2:13,CROSS,133520,0.13536572456359863,1,,visible
1 - 2:15,HIGH PASS,135520,0.12262630462646484,1,,visible
1 - 2:17,HIGH PASS,137200,0.15114212036132812,1,,visible
1 - 2:17,CROSS,137520,0.1814413070678711,1,,visible
1 - 2:19,HIGH PASS,139280,0.10440969467163086,1,,visible
1 - 2:19,CROSS,139520,0.1364917755126953,1,,visible
1 - 2:23,HIGH PASS,143520,0.10517311096191406,1,,visible
1 - 2:23,THROW IN,143520,0.10042190551757812,1,,visible
1 - 2:25,HIGH PASS,145520,0.10994386672973633,1,,visible
1 - 2:27,THROW IN,147520,0.1305696964263916,1,,visible
1 - 2:31,THROW IN,151520,0.13766002655029297,1,,visible
1 - 2:33,THROW IN,153520,0.10564899444580078,1,,visible
1 - 2:36,PASS,156880,0.147857666015625,1,,visible
1 - 2:37,DRIVE,157680,0.10300445556640625,1,,visible
1 - 2:39,PASS,159520,0.10428619384765625,1,,visible
1 - 2:43,HIGH PASS,163520,0.10769081115722656,1,,visible
1 - 2:47,HIGH PASS,167520,0.10234928131103516,1,,visible
1 - 2:53,HIGH PASS,173200,0.13046693801879883,1,,visible
1 - 2:53,CROSS,173520,0.1014629602432251,1,,visible
1 - 2:55,CROSS,175520,0.10410475730895996,1,,visible
1 - 2:57,CROSS,177520,0.10209870338439941,1,,visible
1 - 3:7,CROSS,187520,0.11495041847229004,1,,visible
1 - 3:9,CROSS,189520,0.16466116905212402,1,,visible
1 - 3:13,HIGH PASS,193520,0.10970306396484375,1,,visible
1 - 3:21,CROSS,201520,0.10166466236114502,1,,visible
1 - 3:23,HIGH PASS,203200,0.10248756408691406,1,,visible
1 - 3:23,CROSS,203520,0.17161226272583008,1,,visible
1 - 3:25,CROSS,205520,0.19096875190734863,1,,visible
1 - 3:27,CROSS,207520,0.1477034091949463,1,,visible
1 - 3:29,CROSS,209520,0.13334500789642334,1,,visible
1 - 3:33,CROSS,213520,0.10788655281066895,1,,visible
1 - 3:37,HIGH PASS,217520,0.11347007751464844,1,,visible
1 - 3:37,CROSS,217520,0.22231686115264893,1,,visible
1 - 3:38,HIGH PASS,218640,0.13505172729492188,1,,visible
1 - 3:39,HIGH PASS,219520,0.10651161273320515,1,,visible
1 - 3:40,HIGH PASS,220480,0.13189268112182617,1,,visible
1 - 3:41,HIGH PASS,221520,0.17456817626953125,1,,visible
1 - 3:43,HIGH PASS,223280,0.1390237808227539,1,,visible
1 - 3:45,HIGH PASS,225520,0.12659740447998047,1,,visible
1 - 3:47,HIGH PASS,227520,0.11025071144104004,1,,visible
1 - 3:49,HIGH PASS,229520,0.10270476341247559,1,,visible
1 - 3:51,CROSS,231440,0.16394942998886108,1,,visible
1 - 3:51,HIGH PASS,231520,0.14023947715759277,1,,visible
1 - 3:55,CROSS,235520,0.16377776861190796,1,,visible
1 - 3:57,CROSS,237520,0.30926573276519775,1,,visible
1 - 3:59,CROSS,239440,0.16526579856872559,1,,visible
1 - 4:1,CROSS,241520,0.21578502655029297,1,,visible
1 - 4:3,CROSS,243440,0.17802679538726807,1,,visible
1 - 4:3,HIGH PASS,243520,0.11150193214416504,1,,visible
1 - 4:5,CROSS,245440,0.27941393852233887,1,,visible
1 - 4:7,CROSS,247440,0.14149963855743408,1,,visible
